ACCOUNTING_SUMMARY_ID,TRANS_DATE,ACCOUNT_CODE,PERIOD,CURR_CODE,OTHER_AMT,AMOUNT,D_C,JRNAL_TYPE,TREFERENCE,DESCRIPTN,DUE_DATE,ANAL01,ANAL02,ANAL03,ANAL04,ANAL05,ANAL06,ANAL07,ANAL08,ANAL09,ANAL10,STATUS,CREATOR,CREATE_DATE,MODIFIER,MODIFY_DATE,APPROVAL,APPROVE_DATE
326,14DEC2020:00:00:00,3393010001,0122020,VND,2250000,2250000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,99,baont,15DEC2020:18:04:25,,,,
327,14DEC2020:00:00:00,4774070001,0122020,VND,863636,863636,C,LMSS,LMSS14122020,SUBVENTION AMORTIZATION ET,,970-000,FTCDZO,2,MW1,,,,,,,99,baont,15DEC2020:18:04:25,,,,
328,14DEC2020:00:00:00,4774070001,0122020,VND,572727,572727,C,LMSS,LMSS14122020,SUBVENTION AMORTIZATION ET,,970-000,FTCDZO,23,NK,,,,,,,99,baont,15DEC2020:18:04:25,,,,
329,14DEC2020:00:00:00,4774070000,0122020,VND,12600000,12600000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,99,baont,15DEC2020:18:04:25,,,,
330,14DEC2020:00:00:00,4774070000,0122020,VND,4800000,4800000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,9,FITIN1,,,,,,,99,baont,15DEC2020:18:04:25,,,,
331,14DEC2020:00:00:00,4774080000,0122020,VND,4800000,4800000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,9,FITIN1,,,,,,,99,baont,15DEC2020:18:04:25,,,,
332,14DEC2020:00:00:00,4774080001,0122020,VND,2250000,2250000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,99,baont,15DEC2020:18:04:25,,,,
333,14DEC2020:00:00:00,1423004000,0122020,VND,4800000,4800000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,9,FITIN1,,,,,,,99,baont,15DEC2020:18:04:25,,,,
334,14DEC2020:00:00:00,4774070001,0122020,VND,8345454,8345454,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,61,VTL,,,,,,,99,baont,15DEC2020:18:04:25,,,,
335,14DEC2020:00:00:00,3393010000,0122020,VND,4800000,4800000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,9,FITIN1,,,,,,,99,baont,15DEC2020:18:04:25,,,,
336,14DEC2020:00:00:00,3391401000,0122020,VND,834546,834546,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,61,VTL,,,,,,,99,baont,15DEC2020:18:04:25,,,,
337,14DEC2020:00:00:00,1341020000,0122020,VND,7800000,7800000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,99,baont,15DEC2020:18:04:25,,,,
338,14DEC2020:00:00:00,4774080000,0122020,VND,12600000,12600000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,99,baont,15DEC2020:18:04:25,,,,
339,14DEC2020:00:00:00,3393010001,0122020,VND,572727,572727,D,LMSS,LMSS14122020,SUBVENTION AMORTIZATION ET,,970-000,FTCDZO,23,NK,,,,,,,99,baont,15DEC2020:18:04:25,,,,
340,14DEC2020:00:00:00,4774070001,0122020,VND,2250000,2250000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,99,baont,15DEC2020:18:04:25,,,,
341,14DEC2020:00:00:00,1423004000,0122020,VND,9180000,9180000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,61,VTL,,,,,,,99,baont,15DEC2020:18:04:25,,,,
342,14DEC2020:00:00:00,3393010001,0122020,VND,863636,863636,D,LMSS,LMSS14122020,SUBVENTION AMORTIZATION ET,,970-000,FTCDZO,2,MW1,,,,,,,99,baont,15DEC2020:18:04:25,,,,
343,14DEC2020:00:00:00,3393010000,0122020,VND,12600000,12600000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,99,baont,15DEC2020:18:04:25,,,,
344,14DEC2020:00:00:00,3391401000,0122020,VND,225000,225000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,99,baont,15DEC2020:18:04:25,,,,
345,14DEC2020:00:00:00,1423004000,0122020,VND,1275000,1275000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,99,baont,15DEC2020:18:04:25,,,,
346,14DEC2020:00:00:00,4774080001,0122020,VND,8345454,8345454,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,61,VTL,,,,,,,99,baont,15DEC2020:18:04:25,,,,
