,,,,,,,,,,,,,,,,,,,dealer,,,,,,,,,,,,,,
ACCOUNTING_TRANS_ID,TRANS_DATE,LOAN_ID,CORE_LOAN_ID,TRANS_TYPE,TRANS_DESC,ACCOUNT_CODE,PERIOD,CURR_CODE,OTHER_AMT,AMOUNT,D_C,JRNAL_TYPE,TREFERENCE,DESCRIPTN,DUE_DATE,ANAL01,ANAL02,ANAL03,ANAL04,ANAL05,ANAL06,ANAL07,ANAL08,ANAL09,ANAL10,CAMPAIGN_CODE,STATUS,CREATOR,CREATE_DATE,MODIFIER,MODIFY_DATE,APPROVAL,APPROVE_DATE
707,08DEC2020:00:00:00,2012051849,100235493,DISBURSE_SUBVENTION_VAT_TOTAL,RECEIVE SUBVENTION,1423004000,122020,VND,1500000,1500000,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,45,TGDD1,,,,,,,FTCDZO,99,baont,09DEC2020:16:27:43,,,,
708,08DEC2020:00:00:00,2012051849,100235493,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,4774080001,122020,VND,1363636,1363636,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,45,TGDD1,,,,,,,FTCDZO,99,baont,09DEC2020:16:27:43,,,,
709,08DEC2020:00:00:00,2012051849,100235493,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,3393010001,122020,VND,1363636,1363636,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,45,TGDD1,,,,,,,FTCDZO,99,baont,09DEC2020:16:27:43,,,,
710,08DEC2020:00:00:00,2012051860,100235503,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774070001,122020,VND,590864,590864,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,NP2WZO,17,TVT1,,,,,,,NP2WZO,99,baont,09DEC2020:16:27:43,,,,
711,08DEC2020:00:00:00,2012051847,100235487,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774070001,122020,VND,818182,818182,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,FTCDZO,99,baont,09DEC2020:16:27:43,,,,
712,08DEC2020:00:00:00,2012051865,100235489,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774070001,122020,VND,818182,818182,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,FTCDZO,99,baont,09DEC2020:16:27:43,,,,
713,08DEC2020:00:00:00,2012051864,100235483,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774070001,122020,VND,540455,540455,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,FT2WZO,99,baont,09DEC2020:16:27:43,,,,
714,08DEC2020:00:00:00,2012051860,100235503,DISBURSE_SUBVENTION_VAT_AMT_POST,RECEIVE SUBVENTION,3391401000,122020,VND,59086,59086,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,NP2WZO,17,TVT1,,,,,,,NP2WZO,99,baont,09DEC2020:16:27:43,,,,
715,08DEC2020:00:00:00,2012051847,100235487,DISBURSE_SUBVENTION_VAT_AMT_POST,RECEIVE SUBVENTION,3391401000,122020,VND,81818,81818,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,FTCDZO,99,baont,09DEC2020:16:27:43,,,,
716,08DEC2020:00:00:00,2012051865,100235489,DISBURSE_SUBVENTION_VAT_AMT_POST,RECEIVE SUBVENTION,3391401000,122020,VND,81818,81818,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,FTCDZO,99,baont,09DEC2020:16:27:43,,,,
